日付,日経平均,当行株価,NYダウ,対米ドル,対ユーロ,日本国債10年,米国国債10年,WTI先物期近物
2021-11-01,29647.08,571,35913.84,114.43,132.35,0.09,1.58,84.05
2021-11-02,29520.9,567,36052.63,113.67,131.98,0.08,1.56,83.91
2021-11-03,,,36157.58,,,,1.6,80.86
2021-11-04,29794.37,580,36124.23,114.22,132.2,0.07,1.53,78.81
2021-11-05,29611.57,570,36327.95,113.77,131.55,0.055,1.45,81.27
2021-11-06,,,,,,,,
2021-11-07,,,,,,,,
2021-11-08,29507.05,568,36432.22,113.57,131.31,0.055,1.51,81.93
2021-11-09,29285.46,560,36319.98,112.86,130.88,0.06,1.46,84.15
2021-11-10,29106.78,564,36079.94,113.1,130.87,0.06,1.56,81.34
2021-11-11,29277.86,562,35921.23,114.09,130.77,0.065,,81.59
2021-11-12,29609.97,568,36100.31,114.06,130.62,0.07,1.58,80.79
2021-11-13,,,,,,,,
2021-11-14,,,,,,,,
2021-11-15,29776.8,560,36087.45,113.95,130.49,0.06,1.63,80.88
2021-11-16,29808.12,559,36142.22,114.28,130.06,0.07,1.63,80.76
2021-11-17,29688.33,553,35931.05,114.9,129.88,0.075,1.6,78.36
2021-11-18,29598.66,551,35870.95,114.03,129.26,0.08,1.59,79.01
2021-11-19,29745.87,553.0,35601.98,114.37,129.76,0.075,1.54,76.10
2021-11-20,,,,,,,,
2021-11-21,,,,,,,,
2021-11-22,29774.11,553.0,35619.25,114.23,128.65,0.070,1.63,76.75
2021-11-23,,,35813.80,,,,1.67,78.50
2021-11-24,29302.66,551.0,35804.38,114.91,129.23,0.085,1.64,78.39
2021-11-25,29499.28,552.0,,115.39,129.44,0.080,,77.41
2021-11-26,28751.62,545.0,34899.34,114.17,128.28,0.070,1.48,68.15
2021-11-27,,,,,,,,
2021-11-28,,,,,,,,
